ID операции;Дата;ID тура;ID туроператора;Количество проданных путёвок
OP0001;01.01.2022;R1120;T105;15
OP0002;01.01.2022;R1108;T100;14
OP0003;01.01.2022;R1128;T115;13
OP0004;01.01.2022;R1104;T110;5
OP0005;01.01.2022;R1108;T100;11
OP0006;01.01.2022;R1105;T118;3
OP0007;01.01.2022;R1109;T117;16
OP0008;01.01.2022;R1103;T104;16
OP0009;01.01.2022;R1107;T112;16
OP0010;01.01.2022;R1106;T108;5
OP0011;01.01.2022;R1118;T102;14
OP0012;01.01.2022;R1112;T118;19
OP0013;01.01.2022;R1131;T107;8
OP0014;01.01.2022;R1124;T114;7
OP0015;01.01.2022;R1115;T109;20
OP0016;01.01.2022;R1128;T118;11
OP0017;01.01.2022;R1124;T117;13
OP0018;01.01.2022;R1114;T102;15
OP0019;01.01.2022;R1123;T111;4
OP0020;01.01.2022;R1114;T104;8
OP0021;01.01.2022;R1132;T102;6
OP0022;01.01.2022;R1123;T110;5
OP0023;01.01.2022;R1101;T115;13
OP0024;01.01.2022;R1130;T110;20
OP0025;01.01.2022;R1110;T101;18
OP0026;01.01.2022;R1108;T103;2
OP0027;01.01.2022;R1102;T113;7
OP0028;01.01.2022;R1119;T100;10
OP0029;01.01.2022;R1103;T103;15
OP0030;01.01.2022;R1118;T102;20
OP0031;01.01.2022;R1107;T120;3
OP0032;01.01.2022;R1119;T107;6
OP0033;01.01.2022;R1124;T110;6
OP0034;01.01.2022;R1118;T111;8
OP0035;01.01.2022;R1114;T100;18
OP0036;01.01.2022;R1130;T118;10
OP0037;01.01.2022;R1113;T120;7
OP0038;01.01.2022;R1111;T104;7
OP0039;01.01.2022;R1103;T105;9
OP0040;01.01.2022;R1101;T105;12
OP0041;01.01.2022;R1118;T100;16
OP0042;01.01.2022;R1118;T103;4
OP0043;01.01.2022;R1116;T110;14
OP0044;01.01.2022;R1113;T119;16
OP0045;01.01.2022;R1110;T108;9
OP0046;01.01.2022;R1123;T119;18
OP0047;01.01.2022;R1128;T103;18
OP0048;01.01.2022;R1109;T107;9
OP0049;01.01.2022;R1126;T111;3
OP0050;01.01.2022;R1131;T118;4
OP0051;01.01.2022;R1118;T103;15
OP0052;01.01.2022;R1127;T104;4
OP0053;01.01.2022;R1128;T110;8
OP0054;01.01.2022;R1131;T100;2
OP0055;01.01.2022;R1117;T113;20
OP0056;01.01.2022;R1127;T112;4
OP0057;01.01.2022;R1123;T104;5
OP0058;02.01.2022;R1123;T102;14
OP0059;02.01.2022;R1104;T100;11
OP0060;02.01.2022;R1122;T101;9
OP0061;02.01.2022;R1118;T104;15
OP0062;02.01.2022;R1126;T116;14
OP0063;02.01.2022;R1126;T111;2
OP0064;02.01.2022;R1117;T114;17
OP0065;02.01.2022;R1111;T108;8
OP0066;02.01.2022;R1106;T117;8
OP0067;02.01.2022;R1104;T100;19
OP0068;02.01.2022;R1115;T111;4
OP0069;02.01.2022;R1123;T117;7
OP0070;02.01.2022;R1125;T118;7
OP0071;02.01.2022;R1128;T105;17
OP0072;02.01.2022;R1113;T112;15
OP0073;02.01.2022;R1113;T119;9
OP0074;02.01.2022;R1118;T112;5
OP0075;02.01.2022;R1127;T106;11
OP0076;02.01.2022;R1129;T107;8
OP0077;02.01.2022;R1112;T115;20
OP0078;02.01.2022;R1104;T101;2
OP0079;02.01.2022;R1120;T117;12
OP0080;02.01.2022;R1132;T114;15
OP0081;02.01.2022;R1104;T103;16
