id;Код ОО;Задания с кратким ответом;Первичный балл;Балл;Task1;Task2;Task3;Task4;Task5;Task6;Task7;Task8;Task9;Task10;Task11;Task12;Task13;Task14;Task15;Task16;Task17;Task18;Task19;Task20;Task21;Task22;Task23;Task24;Task25;Task26;Task27
1;246173;++-+--+--+-----+---------00;6;40;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2;247033;+++-++-+++++-++++++++++++01;23;85;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1
3;241036;++++++++++-++++++++++++++20;26;93;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0
4;224043;---------+---------------00;1;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;243016;--+-++-+++++--+++++++++--00;17;70;0;0;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0
6;246063;++++-+---+--+--------+---00;8;46;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7;241036;+++++++++++++++++++++++-+00;24;88;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
8;246016;++++++--++-+-+++--+++++--00;17;70;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0
9;238023;+++++++-++++++-+-+---++--00;17;70;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0
10;238017;+++--+--++++-+-++-+++++--00;16;67;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0
11;241036;++++-+-+++-+-++-+++++++-+00;19;75;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;0;0
12;205016;--+--+---+-++--+-----++--00;8;46;0;0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0
13;241036;+-+-++-++++++++++++++++++10;23;85;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
14;235063;+++--+-+-+-+-+-+-+-------00;10;51;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
15;232143;-+++++-+-+--++-++++++++++20;21;80;0;1;1;1;1;1;0;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;2;0
16;220043;+++--+---+-+---+-+++-+---00;11;54;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0
17;246025;+-+--+---+-+++--+-++++---00;12;56;1;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0
18;227013;+++-++++-+--++++-++---++-00;16;67;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;0;0
19;238013;++++++---+-+-+-+-+-------00;11;54;1;1;1;1;1;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
20;238013;+----+---+-+-------------00;4;27;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;245036;-+-------+--+------------00;3;20;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;245036;++-+++------+-+---++-----00;9;48;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0
23;242036;++-++++-++++++++++++++--+22;25;90;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;2;2
24;247027;++-+-+-+++++--++++---++-+00;16;67;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0
25;234016;---------+-----------+---00;2;14;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
26;238053;++++++---++++-++++-++++--00;18;72;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;0;0
27;201033;---+-----+-++----++--+---00;7;43;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0
28;220033;+++-++--++++-+++-----++--00;14;62;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0
29;246016;++--++-+---+-+++++++++-++00;17;70;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0
30;234053;-++-+++--++--+-++++++++--00;16;67;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0
31;238103;+++-++-++++-++++++++++++-00;21;80;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
32;202033;++---+---+--+++++----++--00;11;54;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0
33;213033;+++++++++-+++++++++++++-+20;25;90;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;2;0
34;238013;++++++++-++++++++-+++++-+00;22;83;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0
35;242036;+++++++-++++-+++++++++--+10;22;83;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;0
36;246025;++++-+++++++-+++-+++++---00;19;75;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0
37;220033;+++-++-+-+++-+++++++++--+00;19;75;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0
38;238047;+++--+---+-+-+++-+---+---00;11;54;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0
39;243036;++++-+---++-++---+---+---00;11;54;1;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
40;243016;++--+++--+-++--++++++++--00;16;67;1;1;0;0;1;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0
41;238053;+++--+---+-+++-+-----+---00;10;51;1;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
42;246015;++-+-+-+++-+-+-+-----++--00;12;56;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
43;247016;+++++++-++-+-+++-++--++--00;17;70;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;0
44;244013;+++--+--++++-+-+-+---++--00;13;59;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0
45;247016;+++++++++++-++++-++---+--00;18;72;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;0;0;0
46;244016;+++++++++++++++++++++++--00;23;85;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
47;246153;++++++---+-+++++--+-++---00;15;64;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0
48;238013;+++--++-+--+++++-+++-+---00;15;64;1;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0
49;220023;+-++-----+-+++----+------00;8;46;1;0;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
50;238103;+++-++--+++-++-++-+--+--+00;15;64;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;1;0;0
51;243036;++-+++---+-++--++++--+---00;13;59;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0
52;241036;++++++++++++++++++++++++-10;25;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
53;205026;+++---++-+-+-++-+-+--+--+00;13;59;1;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0
54;206043;++++++-+++++-++++++--++++00;21;80;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;0;0
55;245033;+++--+---+---------------00;5;34;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;232043;++-+++-+++-+++-++++++++-+00;20;78;1;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0
57;227063;+++-+++--+++++++-+---++--00;16;67;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0
58;241046;+----+------+------------00;3;20;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;238053;++++-+-----+-+-+--+--+---00;10;51;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0
60;243016;+++--+--++-+++-+-+++-++--10;16;67;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;0;1;0
61;243015;++++-++++++++-+++++--++--00;19;75;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0
62;242043;++-+-+-------------------00;4;27;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
63;243016;++++-++--+--++-++++++-+--10;17;70;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0
64;243016;-+----------++---++------00;5;34;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0
65;243036;+++-++++-+-+++++-+++++++-00;20;78;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0
66;243053;+--+-+---+-+---+-----+---00;7;43;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
67;230033;+----+---+--------+--+---00;5;34;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
68;249046;+++++++++-+++++++++++++++10;25;90;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
69;246025;++++++-+++++++-+++++-+--+00;20;78;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0
70;238047;+++--+--++-+++-+-++++++--00;16;67;1;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0
71;206033;+++--+---+---------------00;5;34;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;241036;+++++++-++-+-++++++++++++22;26;93;1;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2
73;223033;++---+---+-+++-+-----+---00;9;48;1;1;0;0;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
74;241036;+++++++++++++++++-+++-+++00;23;85;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0
75;232143;+++--+------------+--+---00;6;40;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
76;246153;+--------+--+-----+++----00;6;40;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
77;238015;++-+++--++-++++++-++++-++00;19;75;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0
78;212023;++--++++-++--+-+-----+---00;11;54;1;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
79;247025;+----+---+---------------00;3;20;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;244015;++++++++-+-++++++++++++-+00;22;83;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
81;205133;-+------++-+------++++---00;8;46;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
82;204023;-++---+--++--------------00;5;34;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;208053;+---+++-+++-+--+------+--00;10;51;1;0;0;0;1;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0
84;247033;+-++-+------------+--+---00;6;40;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
85;203063;+++--+++--++--++-+++-+---00;14;62;1;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0
86;238103;+++--++--+-+--++++---+---00;12;56;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0
87;247027;-----+--++++---+-+-------00;7;43;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
88;245053;++++++--++-+-++++-+++++-+10;20;78;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;0
89;242036;+++--+---+-+---+-+---+---00;9;48;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
90;242036;+++-++++++++-++++++++++-+10;23;85;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0
91;243013;-++--+---+--++++++++++++-00;16;67;0;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
92;238093;+++--+--+-+++++++++++++--00;18;72;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
93;238047;+-++-++-++-+-+++++++++---00;17;70;1;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
94;205113;+---+----+---------------00;3;20;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;208053;+++--+--------++-+++-+---20;12;56;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;2;0
96;220163;+----+---+-----------+---00;4;27;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
97;238047;+++++++-+++++++++++++++-+21;26;93;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;2;1
98;220016;+++-++++++++++-++++++++++00;23;85;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0
99;220023;+++++++-++++++-++-+++++--00;20;78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0
100;246046;+++-++--++++-+++++---+++-00;17;70;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0
101;244016;++++-++---++-+-+-++--++--00;14;62;1;1;1;1;0;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0
102;241036;+++-+++-++++++++-+++++++-20;23;85;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;2;0
103;247033;-+---+-----++--------+---00;5;34;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
104;206025;++++-+-+-+-+-+-+-+---+---00;12;56;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0
105;243015;+++--++++++++-+++++++++--00;20;78;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0
106;245083;-+---+-+-+-+---+--++++---10;11;54;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0
107;202023;+++--+---+-+-+-+-+---++--00;11;54;1;1;1;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0
108;247025;++++++---+++-+-+-+++++---00;16;67;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0
109;246023;+++--++-++++-+++++++-+---00;17;70;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0
110;220043;++---+-+++-+-+-+-+++-+---00;13;59;1;1;0;0;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0
111;246046;++--+++++++++++++++++++-+00;22;83;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
112;205163;++++++--++-++++++++--++++00;20;78;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0
113;246015;+++-+++-+++++++++++---+++10;21;80;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0
114;241036;++-+++---+-++++++++++-+-+00;18;72;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0
115;205083;++-+++-+-+-+-++++++++++++00;20;78;1;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
116;205015;++++-+---+-+-+++-++++++--00;16;67;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0
117;208063;++-+++---+++--+---+--+---00;11;54;1;1;0;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
118;208016;+----+-------------------00;2;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;216023;+++-+-+--+-+-+----+---+--00;10;51;1;1;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
120;205026;++-+-++---++-+-+-----++--00;11;54;1;1;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
121;213033;---+--++-+--+------------00;5;34;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;205016;++++++-+++++++-+-+++++---00;19;75;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0;0;0;0;0
123;238015;+++++++++++++++++++++++++00;25;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
124;205026;+++--++--+---+-+-----++--00;10;51;1;1;1;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
125;243016;+-+-+-----++---+---------00;6;40;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
126;215143;++++++-+++++--++-++--++--00;17;70;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0
127;247016;++++++---++++--++-++--+--00;15;64;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0
128;247025;+++-+++-++++-+++++++++---00;19;75;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0
129;247016;+++--++--+-+-++++-+++++--00;16;67;1;1;1;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0
