Код ОО;Краткое наименование ОО;Вид ОО;Тип ОО;Выпускник;Код предмета;Предмет;Вариант;Часть В;1_Часть В;2_Часть В;3_Часть В;4_Часть В;5_Часть В;6_Часть В;7_Часть В;8_Часть В;9_Часть В;10_Часть В;11_Часть В;12_Часть В;Часть С;1_Часть С;2_Часть С;3_Часть С;Часть D;Первичный балл;% Оценка;Оцека по 100;Оцека по 5
208063;"МОУ ВМР ""СОШ № 11 г.Вольска""";Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++---+++-+--;+;+;-;-;-;+;+;+;-;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238016;"МОУ ""МЭЛ им. А.Г. Шнитке""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-++-+++;+;+;+;+;+;-;+;+;-;+;+;+;1(2)3(3)2(2);1;3;2;;16;84;0;5
238016;"МОУ ""МЭЛ им. А.Г. Шнитке""";Лицей;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-++-+;+;+;+;-;+;-;+;-;+;+;-;+;1(2)0(3)2(2);1;0;2;;11;57;0;4
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;-+----+-+-++;-;+;-;-;-;-;+;-;+;-;+;+;0(2)0(3)0(2);0;0;0;;5;26;0;3
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++----++++++;+;+;-;-;-;-;+;+;+;+;+;+;2(2)3(3)2(2);2;3;2;;15;78;0;4
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;++--+-+++-+-;+;+;-;-;+;-;+;+;+;-;+;-;2(2)0(3)0(2);2;0;0;;9;47;0;3
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++--+-+++---;+;+;-;-;+;-;+;+;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;27250;++----+++---;+;+;-;-;-;-;+;+;+;-;-;-;1(2)0(3)0(2);1;0;0;;6;31;0;3
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;25676;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(3)2(2);2;2;2;;18;94;0;5
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+-++++++;+;+;+;-;+;-;+;+;+;+;+;+;2(2)3(3)0(2);2;3;0;;15;78;0;4
212193;МБОУ СОШ с.Сластуха;Средняя общеобразовательная школа;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;26468;+++-+++++--+;+;+;+;-;+;+;+;+;+;-;-;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-++++++;+;+;-;+;+;-;+;+;+;+;+;+;2(2)1(3)2(2);2;1;2;;15;78;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+-++-+;+;+;+;-;+;-;+;-;+;+;-;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+-+++-+++++-;+;-;+;+;+;-;+;+;+;+;+;-;1(2)1(3)0(2);1;1;0;;11;57;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-+-++-+;+;+;+;+;+;-;+;-;+;+;-;+;1(2)0(3)0(2);1;0;0;;10;52;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-+-+-++;+;+;+;+;+;-;+;-;+;-;+;+;2(2)3(3)0(2);2;3;0;;14;73;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;++++----+-++;+;+;+;+;-;-;-;-;+;-;+;+;1(2)0(3)0(2);1;0;0;;8;42;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++++-++++++;+;+;+;+;+;-;+;+;+;+;+;+;2(2)2(3)0(2);2;2;0;;15;78;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+-+++-;+;+;+;-;+;-;+;-;+;+;+;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;2(2)0(3)0(2);2;0;0;;14;73;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;-++++-+--+++;-;+;+;+;+;-;+;-;-;+;+;+;0(2)0(3)0(2);0;0;0;;8;42;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;+--+--+-++++;+;-;-;+;-;-;+;-;+;+;+;+;1(2)0(3)0(2);1;0;0;;8;42;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+++-++--;+;+;+;-;+;+;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;8;42;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+-+++-;+;+;-;+;+;-;+;-;+;+;+;-;1(2)1(3)0(2);1;1;0;;10;52;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++--;+;+;+;+;+;+;+;+;+;+;-;-;0(2)0(3)0(2);0;0;0;;10;52;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+---+-++++++;+;-;-;-;+;-;+;+;+;+;+;+;1(2)0(3)2(2);1;0;2;;11;57;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;+++-+-+-+---;+;+;+;-;+;-;+;-;+;-;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+-++--;+;+;+;-;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;1(2)1(3)0(2);1;1;0;;14;73;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+---++--;+;+;+;-;+;-;-;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++-++-+-++++;+;+;-;+;+;-;+;-;+;+;+;+;0(2)0(3)0(2);0;0;0;;9;47;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+-+++++-;+;+;+;-;+;-;+;+;+;+;+;-;1(2)0(3)0(2);1;0;0;;10;52;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++--+-+-++--;+;+;-;-;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++++;+;+;+;+;+;+;+;+;+;+;+;+;2(2)2(3)2(2);2;2;2;;18;94;0;5
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;++++++++++-+;+;+;+;+;+;+;+;+;+;+;-;+;0(2)0(3)0(2);0;0;0;;11;57;0;4
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+-++++++++++;+;-;+;+;+;+;+;+;+;+;+;+;2(2)3(3)2(2);2;3;2;;18;94;0;5
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++--+-+-+++-;+;+;-;-;+;-;+;-;+;+;+;-;0(2)0(3)0(2);0;0;0;;7;36;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;23269;++--+-+-++--;+;+;-;-;+;-;+;-;+;+;-;-;0(2)0(3)0(2);0;0;0;;6;31;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24846;-++-+-++--++;-;+;+;-;+;-;+;+;-;-;+;+;2(2)0(3)0(2);2;0;0;;9;47;0;3
238047;"МОУ ""СОШ № 32""";Средняя общеобразовательная школа с углубленным изучением отдельных предметов;Общеобразовательная организация;Выпускник общеобразовательной организации текущего года;5;Информатика;24051;+++-+++-++--;+;+;+;-;+;+;+;-;+;+;-;-;1(2)0(3)0(2);1;0;0;;9;47;0;3
