platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Machine Learning,https://alison.com/course/diploma-in-applied-generative-ai#outcomes,Diploma in Applied Generative AI,"This diploma course is ideal for managers and business owners wanting to understand the profound impact of Generative AI and how to integrate it into their organizations. Through case studies and expert insights, you'll learn how Generative AI can transform operations and enhance decision-making. You’ll be prepared to implement AI solutions ethically and efficiently. Enroll today and start your journey to becoming a sought-after modern manager.",en,Advanced Level,8541,0,Diploma,YouAccel Training,79,38
Alison,Machine Learning,https://alison.com/course/ai-awareness-for-safety-professionals#outcomes,AI Awareness for Safety Professionals,"This AI awareness training provides essential knowledge to help you stay updated with AI advancements in Occupational Health and Safety (OSH). You’ll learn key concepts in artificial intelligence and how AI technologies like computer vision, natural language processing (NLP), and robotics are applied in OSH, including their benefits and associated risks. The course also explores how advancements in AI capabilities will reshape the future of OSH.",en,Beginner Level,3694,0,Certificate,Jawad Chand,33,14
Alison,Machine Learning,https://alison.com/course/maintenance-and-control-of-electric-motors#outcomes,Maintenance and Control of Electric Motors,"This course on the maintenance and control of electric motors provides valuable technical knowledge and skills needed by every field electrical technician or engineer to carry out your daily inspection, preventive maintenance, and corrective maintenance. You will learn how to carry out basic repairs after troubleshooting and finding the root cause of the motor failure. This course will boost your confidence in the field of electrical engineering.",en,Beginner Level,5525,0,Certificate,Otto Wisdom,74,41
Alison,Machine Learning,https://alison.com/course/diploma-in-ai-ethics-navigating-the-moral-compass-of-business-ai#outcomes,Diploma in AI Ethics: Navigating the Moral Compass of Business AI,"Learn the key concepts of data privacy as well as the profound effects of AI on individuals and communities in this course. The course covers a range of topics, including theories of moral reasoning in ethical decision-making, ethical considerations in AI integration, algorithmic bias, and more. This course will teach you about the ethical framework of policies and standards for effective AI deployment. Start this course today.",en,Beginner Level,3178,0,Diploma,YouAccel Training,28,27
Alison,Machine Learning,https://alison.com/course/ai-marketing#outcomes,AI Marketing,"AI Marketing explores integrating artificial intelligence into modern strategies. Learn to leverage AI for consumer analysis, optimise campaigns, and personalise experiences. This course covers machine learning, chatbots, and ethical considerations. Gain practical insights into AI's transformative impact on market research, segmentation, and the dynamic landscape of digital marketing, providing a skill set for capitalising on AI for marketing.",en,Beginner Level,33508,0,Certificate,Amzi Chidozie,470,344
Alison,Machine Learning,https://alison.com/course/machining-processes-finishing-processes-and-cnc-machine#outcomes,Machining Processes: Finishing Processes and CNC Machine,"This course covers the finishing processes produced by a CNC machine. These machines are primarily used in the manufacturing industries like mills and the focus will be on the services it provides in these industries. On top of learning about the type of finishes this machine can achieve, you will also study the more fundamental part of programming the machine. This is vital for an operator to know.",en,Advanced Level,14951,0,Certificate,NPTEL,69,42
Alison,Machine Learning,https://alison.com/course/machine-learning-and-advanced-ai-techniques#outcomes,Machine Learning and Advanced AI Techniques,"How are businesses using machine learning (ML) to improve their operations? In this course, we’ll teach you the core concepts of machine learning and the advanced AI technologies businesses leverage to predict outcomes, detect fraud, and enhance customer experiences. In addition, you’ll explore the fundamentals of deep learning and its applications in creating and training AI models to solve various real-world problems.",en,Advanced Level,4660,0,Certificate,YouAccel Training,32,32
Alison,Machine Learning,https://alison.com/course/introduction-to-alteryx#outcomes,Introduction to Alteryx,"This free online course will teach you about various tools and functionalities in Alteryx and how to create ETL (Extract, Transform and Load) Processes. You will learn how to develop repeatable Alteryx workflows and the concept of data parsing and data parsing techniques. Learn how to create reports in Alteryx that run on demand and how to use the predictive tools in Alteryx to perform data analysis with this free online Alteryx course.",en,Beginner Level,4672,0,Certificate,SimonSezIT,24,10
Alison,Machine Learning,https://alison.com/course/artificial-intelligence-and-machine-learning-in-business#outcomes,Artificial Intelligence and Machine Learning in Business,"We cannot overstate the importance and use of artificial intelligence (AI) to the present day. AI has altered communities and economies by increasing human labour's speed, efficiency and precision in fields ranging from robotics to fraud detection and online commerce. We designed this course to create awareness for both computer specialists and newcomers interested in a career in AI. This course introduces the basics of AI and its subsets.",en,Intermediate Level,29285,0,Certificate,Shripad Vaidya,161,113
Alison,Machine Learning,https://alison.com/course/ai-and-future-trends#outcomes,AI and Future Trends,"Not leveraging AI in your business could place you at a disadvantage. Competitors are using it to save time, optimize resources, and enhance efficiency and productivity. This course will explore how AI empowers companies and business leaders with advanced data analysis, transforms operations, and improves customer and employee relations. You'll discover the best strategies to seamlessly integrate AI into your business for success. Enroll now!",en,Intermediate Level,2340,0,Certificate,YouAccel Training,29,26
