platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/intro-to-web-accessibility#outcomes,Intro to Web Accessibility,"Modern-day web design and development is fundamental to how we experience the online world and web accessibility is the cornerstone of these disciplines. In this free online web accessibility course, you will get a detailed overview of why web accessibility is important, who it helps, the kind of technologies involved in creating accessible interfaces and how to apply the Web Content Accessibility Guidelines (WCAG).",en,Advanced Level,3661,0,Certificate,BCcampus OpenEd,14,10
Alison,Web Development,https://alison.com/course/a-guide-to-web3#outcomes,A Guide to Web3,"A Guide to Web3 is an introductory online course that covers the fundamentals of Web3, including blockchain, decentralised apps (dApps), smart contracts, NFTs, and decentralised finance. As for beginners, this course will teach you how Web3 technologies are transforming the internet, empowering users with greater control over data and digital assets. Get the knowledge to navigate and thrive in the future of a decentralised digital ecosystem.",en,Beginner Level,1043,0,Certificate,Amzi Chidozie,5,10
Alison,Web Development,https://alison.com/course/exploring-and-installing-let-s-encrypt-using-ssl-certificate#outcomes,Exploring and Installing Let's Encrypt Using SSL Certificate,"In the age of digital, it is important to always make sure that data and online content is secure. This free online cyber security course on Exploring and Installing Let's Encrypt Using SSL Certificate teaches you about the importance of securing web content and how to do it as well. You will explore the differences between traditional and SSL certificates, SSL verification, and the installation process for cron job (command line utility).",en,Advanced Level,2361,0,Certificate,YouAccel Training,7,8
Alison,Web Development,https://alison.com/course/starting-javascript-programming#outcomes,Starting JavaScript Programming,"This practical web development course introduces you to JavaScript (JS), a powerful programming language used by professionals. We begin with the basics of JS code and explain how to use mathematical operators and work with conditional statements in JS. We show you how to write codes and commands step by step to help you acquire a valuable skill as you learn the fundamentals of JavaScript and prepare to move on to higher-level programming.",en,Beginner Level,17056,0,Certificate,Zenva,114,68
Alison,Web Development,https://alison.com/course/fundamentals-of-html#outcomes,Fundamentals of HTML,"This free online course on the fundamentals of HTML will give you a comprehensive guide on the major updates available in HTML version 5 (HTML5). You will learn how to download, install, and customize ComodoreEdit, which is the free editing software in HTML5. Other key themes in this HTML course are learning about the new semantic elements along with differences between the placeholder attribute and the value attribute in HTML.",en,Intermediate Level,15442,0,Certificate,Stone River eLearning,48,39
Alison,Web Development,https://alison.com/course/react-javascript-fundamentals-to-coding-and-new-beginnings#outcomes,React JavaScript - Fundamentals to Coding & New Beginnings,"React is an open-source JavaScript library that you can use to build user interfaces and web applications. React is much simpler to use than JavaScript and requires significantly less coding. This web development course lays out the core principles of React. We explain how to set up your first React environment, components, keys and props. We also go through folder structure, CSS styling and React operators. Sign up to learn a valuable new skill.",en,Intermediate Level,19529,0,Certificate,Digital Partner,77,58
Alison,Web Development,https://alison.com/course/web-design-with-html#outcomes,Web Design with HTML,"Websites play an important role in helping us access information on the internet. This short, free online course covers the basic principles and elements of HTML, the most widely used programming language for designing websites. You will learn about using tags and adding elements like tables and media. We’ll also cover using CSS and JavaScript to make a website responsive, so you can be on the way to building your first functional website.",en,Beginner Level,20504,0,Certificate,Sonar Systems,90,43
Alison,Web Development,https://alison.com/course/styling-websites-with-css#outcomes,Styling Websites with CSS,"This free online course will equip you with the practical knowledge and techniques required to style websites using CSS. We will start with the basics of CSS and how to set it up. The course will then show you how to create and manipulate elements such as borders, apply colours, insert background images, implement transition effects, margins and padding. We will also explain essential features such as pseudo-elements.",en,Intermediate Level,3645,0,Certificate,Sonar Systems,18,7
Alison,Web Development,https://alison.com/course/scaling-a-web-app-with-docker-on-aws#outcomes,Scaling a Web App with Docker on AWS,"Docker provides a useful infrastructure solution for developing and deploying apps while Amazon Web Services is an inexpensive, feature-rich cloud platform for hosting apps and data. The two services yield a handy solution for developing and managing apps when used in tandem. In this short course, we will combine the power of AWS and Docker containers in developing, testing and deploying scalable web applications. Sign up today!",en,Advanced Level,886,0,Certificate,Stone River eLearning,4,2
Alison,Web Development,https://alison.com/course/introduction-to-angular-2#outcomes,Introduction to Angular 2,"This free online Angular 2 course will introduce you to the latest version of Angularjs, the new features in Angular 2, and the core building blocks of an Angular application. Angular JS is a structural framework developed and maintained by Google and used for developing dynamic web apps. You will learn how to combine those blocks to create easily testable and maintainable front-end applications that are fast and responsive.",en,Intermediate Level,12881,0,Certificate,Microsoft,15,6
