platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating_loved,rating_liked
Alison,Web Development,https://alison.com/course/diploma-in-web-accessibility#outcomes,Diploma in Web Accessibility,"This free online course explores issues pertaining to web accessibility and its vital role in modern web design and development. This course explains why web accessibility is important, whom it helps and the kind of technologies and measures that can create accessible interfaces for all. This course is split into three sections: an introduction to web accessibility, its development and finally its auditing.",en,Advanced Level,5241,0,Diploma,BCcampus OpenEd,16,7
Alison,Web Development,https://alison.com/course/diploma-in-sap-ui5-development#outcomes,Diploma in SAPUI5 Development,"Ready to take your web development skills to the next level? This course will help you discover a world of new possibilities in web application development with SAPUI5. By delving into core concepts and essential tools, you'll comprehensively understand how to build SAPUI5 applications. You'll learn to create web applications that are easily accessible across multiple device types, fix web application issues and deploy them to various platforms.",en,Advanced Level,1822,0,Diploma,Espresso Tutorials,9,3
Alison,Web Development,https://alison.com/course/web-accessibility-auditing#outcomes,Web Accessibility Auditing,The global standards governing web accessibility are the Web Content Accessibility Guidelines (WCAG) and this free online course gives a detailed overview of how to audit content to determine its accessibility for people with disabilities. This free Web Accessibility Auditing course will also teach you the various pitfalls in web content and interface auditing and what is involved in testing web applications for accessibility.,en,Advanced Level,5350,0,Certificate,BCcampus OpenEd,23,12
Alison,Web Development,https://alison.com/course/html5-and-css3-fundamentals#outcomes,HTML5 and CSS3 Fundamentals,Explore building a website using HTML5 together with the step-by-step procedure of using the most current standard of HTML5 and CSS3. This course will teach you how to use the text editor to set up different types of lists and when you can use the ‘order’ list. Are you looking to improve your skills in building websites with HTML5 streaming videos or fully utilising HTML5? Then get started with this course today!,en,Beginner Level,7814,0,Certificate,Workforce Academy Partnership,31,17
Alison,Web Development,https://alison.com/course/the-ultimate-seo-blueprint#outcomes,The Ultimate SEO Blueprint,"In this free search engine optimization course, you will learn precisely how to optimize your website so you can work towards showing up on Google’s first page using your most profitable keywords and start selling more products and services. SEO is a great way to get free traffic. In this course, you will learn the fundamentals of SEO and how to use it to your advantage so that search engines like Google rank your website as highly as possible.",en,Intermediate Level,21525,0,Certificate,Juan Galvan,117,96
Alison,Web Development,https://alison.com/course/dynamic-slot-machine-using-javascript-dom#outcomes,Dynamic Slot Machine using JavaScript DOM,Creating games is one of the most fun projects you can ever undertake. Do you want to use your basic knowledge of web design to create a dynamic slot machine game in JavaScript? This free online course teaches you all the functionalities and basic codes you need to create an interactive slot game for your users.,en,Intermediate Level,1582,0,Certificate,Laurence Svekis ✔,9,1
Alison,Web Development,https://alison.com/course/selenium-fundamentals#outcomes,Selenium Fundamentals,"This free online web development course offers a comprehensive guide to the principles and applications of the Selenium Integrated Development Environment (IDE). We explain step by step how to optimize the suite’s functionalities and demonstrate how to download and include the Selenium libraries in a program. This course lets you use Selenium to test web applications, which will boost the quality of your output and thus your career.",en,Beginner Level,9299,0,Certificate,Workforce Academy Partnership,46,23
Alison,Web Development,https://alison.com/course/introduction-to-html-and-css#outcomes,Introduction to HTML and CSS,This free online programming course teaches you how to create enticing web pages with Hypertext Markup Language (HTML) and Cascading Style Sheets (CSS). HTML forms the foundation for most web content and CSS can be added to refine its appearance. We also examine CSS classes and IDs and delve into basic styling properties and design principles that apply to all online layout including the use tags and multimedia on your web pages.,en,Beginner Level,54215,0,Certificate,SimonSezIT,319,194
Alison,Web Development,https://alison.com/course/wordpress-fundamentals-content-management-system-cms#outcomes,WordPress Fundamentals - Content Management System (CMS),This WordPress course covers all the important aspects of this website-developing platform. Explore WordPress solutions for your business or project. We will outline the steps to install WordPress and help you understand its basic principles and methods to start building your own website. You will also discover more about the platform’s management and its dashboard. Learn the basics of this popular content management system (CMS).,en,Beginner Level,8987,0,Certificate,Digital Partner,53,38
Alison,Web Development,https://alison.com/course/laravel-framework-for-beginners#outcomes,Laravel Framework for Beginners,"In this free online Laravel framework introductory course, you will be taught the basics, features and applications of the Laravel Framework. Explore creating controllers, actions, validations, routes, entities, and services, and overview the common mistakes developers make when using the Laravel framework for development. The main advantage of this course is that you will learn how to create your web application using the Laravel framework.",en,Beginner Level,4771,0,Certificate,Career Guides Experts,74,49
Alison,Web Development,https://alison.com/course/building-a-successful-business-website#outcomes,Building a Successful Business Website,"The online marketplace is growing at a boundless rate and offers every kind of business a platform for greater success. This course explains how to build an effective commercial website. We show you how to make your business website attractive, easy to find online and simple to navigate. Most importantly, customers must be able to make purchases with ease. This course suits small business owners and entrepreneurs who want to harness the internet.",en,Beginner Level,21814,0,Certificate,Proactive Ideas,195,124
Alison,Web Development,https://alison.com/course/exploring-asp-net-core-intermediate#outcomes,Exploring ASP.NET Core: Intermediate,"‘Exploring ASP.NET Core: Intermediate’ is a course that builds on the foundation of ASP.NET to enhance your professional skills. Learn about the structure of ASP.NET Core, the application startup services and Middleware. Gain essential insights on new cross platforms, data management and database migrations from this course to build modern apps. Register for this course today and take your coding skills to the next level!",en,Intermediate Level,4643,0,Certificate,Workforce Academy Partnership,17,11
Alison,Web Development,https://alison.com/course/diploma-in-website-development-using-html-and-css#outcomes,Diploma in Website Development Using HTML and CSS,"Interested in website development but not quite sure how to approach your learning? This free online course introduces you to website development using HTML and CSS and explains the introductory aspect of developing a website and the basics of website design. You will learn how to build the structure of a website, the cascading style sheet (CSS) model and how to build components in the navigation bar in order to build world-class websites.",en,Advanced Level,42764,0,Diploma,YouAccel Training,241,50
Alison,Web Development,https://alison.com/course/web-development-with-html-and-css-for-beginners#outcomes,Web Development with HTML and CSS for Beginners,"Are you a web-design beginner with no prior knowledge of web development? Are you interested in starting a new chapter as a web developer? Then your web development journey today with this free online course! We will help you master the foundations of HTML and CSS, which are the two powerful programming languages every aspiring web developer needs to know. This course will take you through everything you need to know to get your plans on track.",en,Beginner Level,95852,0,Certificate,Zenva,497,243
Alison,Web Development,https://alison.com/course/modern-web-design-using-html-and-css#outcomes,Modern Web Design using HTML and CSS,"As more and more individuals use the internet daily, websites have become a huge part of our lives and the demand for capable web designers is ever-increasing. This short course will introduce you to HTML and CSS, the two languages you need to learn to start building websites in a beginner-friendly manner. In under three hours, you will learn about HTML tags, adding images and tables, responsive web design and more.",en,Beginner Level,13183,0,Certificate,Laurence Svekis ✔,49,20
Alison,Web Development,https://alison.com/course/fundamentals-of-human-computer-information-retrieval-revised#outcomes,Fundamentals of Human-Computer Information Retrieval,"In this free online course in Human-Computer Information Retrieval you can learn the fundamental characteristics of the vast quantities of data and information which appear on the web every day. This course will help you understand the different forms of data, and how modern search engines combine human computer interaction (HCI) studies with complex information retrieval methods to facilitate the convenient navigation of online spaces.",en,Beginner Level,12540,0,Certificate,University of North Carolina,68,23
Alison,Web Development,https://alison.com/course/intro-to-web-accessibility#outcomes,Intro to Web Accessibility,"Modern-day web design and development is fundamental to how we experience the online world and web accessibility is the cornerstone of these disciplines. In this free online web accessibility course, you will get a detailed overview of why web accessibility is important, who it helps, the kind of technologies involved in creating accessible interfaces and how to apply the Web Content Accessibility Guidelines (WCAG).",en,Advanced Level,3661,0,Certificate,BCcampus OpenEd,14,10
Alison,Web Development,https://alison.com/course/a-guide-to-web3#outcomes,A Guide to Web3,"A Guide to Web3 is an introductory online course that covers the fundamentals of Web3, including blockchain, decentralised apps (dApps), smart contracts, NFTs, and decentralised finance. As for beginners, this course will teach you how Web3 technologies are transforming the internet, empowering users with greater control over data and digital assets. Get the knowledge to navigate and thrive in the future of a decentralised digital ecosystem.",en,Beginner Level,1043,0,Certificate,Amzi Chidozie,5,10
Alison,Web Development,https://alison.com/course/exploring-and-installing-let-s-encrypt-using-ssl-certificate#outcomes,Exploring and Installing Let's Encrypt Using SSL Certificate,"In the age of digital, it is important to always make sure that data and online content is secure. This free online cyber security course on Exploring and Installing Let's Encrypt Using SSL Certificate teaches you about the importance of securing web content and how to do it as well. You will explore the differences between traditional and SSL certificates, SSL verification, and the installation process for cron job (command line utility).",en,Advanced Level,2361,0,Certificate,YouAccel Training,7,8
Alison,Web Development,https://alison.com/course/starting-javascript-programming#outcomes,Starting JavaScript Programming,"This practical web development course introduces you to JavaScript (JS), a powerful programming language used by professionals. We begin with the basics of JS code and explain how to use mathematical operators and work with conditional statements in JS. We show you how to write codes and commands step by step to help you acquire a valuable skill as you learn the fundamentals of JavaScript and prepare to move on to higher-level programming.",en,Beginner Level,17056,0,Certificate,Zenva,114,68
Alison,Web Development,https://alison.com/course/fundamentals-of-html#outcomes,Fundamentals of HTML,"This free online course on the fundamentals of HTML will give you a comprehensive guide on the major updates available in HTML version 5 (HTML5). You will learn how to download, install, and customize ComodoreEdit, which is the free editing software in HTML5. Other key themes in this HTML course are learning about the new semantic elements along with differences between the placeholder attribute and the value attribute in HTML.",en,Intermediate Level,15442,0,Certificate,Stone River eLearning,48,39
