platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Программирование,https://stepik.org/course/256643/,ООП Python: Часть 1,"Часть 1: Фундамент ООП. Научитесь мыслить объектами, создавать классы и применять три столпа программирования: инкапсуляцию, наследование и полиморфизм.",ru,normal,2894,-,Certificate,Александр Заплавный,4.945652173913044,92
Stepik,Программирование,https://stepik.org/course/227627/,Лучший по Python. Часть 3,"Продолжение легендарной 1 части!

Курс уникален по 5 причинам: 
1. Захватывающий сюжет.
2. Всё обучение — в форме диалога!
3. Все задачи взяты из реальной жизни!
4. В курсе нет сложной математики и непонятной теории!
5. Такого или похожего курса не существует :)",ru,normal,971,2100 ₽,Certificate,Иван Стародубцев;Ksenia Pylkina,4.984126984126984,126
Stepik,Программирование,https://stepik.org/course/221885/,Лучший по Python. Часть 2,"Продолжение легендарной 1 части!

Курс уникален по 5 причинам: 
1. Захватывающий сюжет.
2. Всё обучение — в форме диалога!
3. Все задачи взяты из реальной жизни!
4. В курсе нет сложной математики и непонятной теории!
5. Такого или похожего курса не существует :)",ru,easy,7914,-,Certificate,Иван Стародубцев,4.960122699386503,978
Stepik,Программирование,https://stepik.org/course/214271/,Лучший по Python. Для всех начинающих!,"Самый интересный курс для тех, кто хочет начать программировать!

Курс уникален по 5 причинам:

1. Захватывающий сюжет.
2. Всё обучение — в форме диалога!
3. Все задачи взяты из реальной жизни!
4. В курсе нет сложной математики и непонятной теории!
5. Такого или похожего курса не существует :)",ru,easy,28632,-,Certificate,Иван Стародубцев,4.95384204909285,3748
Stepik,Программирование,https://stepik.org/course/195619/,Функциональное программирование на Python,"🚀 ""Функциональное программирование на Python"" — следующий этап для тех, кто уже освоил основы Python и хочет вывести свои навыки на новый уровень!

📚 Освойте продвинутые техники Python: функции высшего порядка, рекурсию, итераторы, генераторы и декораторы. Этот курс поможет углубить ваши знания и научит писать чистый, лаконичный и эффективный код.

💡 Курс идеально подходит для выпускников базового курса ""Инди-курс программирования на Python"" и всех, кто хочет углубиться в функциональное программирование!",ru,normal,14762,1499 ₽,Certificate,Артем Егоров,4.949238578680203,394
Stepik,Программирование,https://stepik.org/course/193691/,"Добрый, добрый C/C++ с Сергеем Балакиревым","На чем пишутся самые быстрые программы? Да, в большинстве случаев на языке C/C++. Именно в областях, где необходима максимальная скорость выполнения и контроль над железом, язык C/C++ снискал свою популярность. И несмотря на свою долгую историю продолжает доминировать в быстрых вычислениях и системном программировании.",ru,easy,51875,-,Certificate,Сергей Балакирев,4.96078431372549,204
Stepik,Программирование,https://stepik.org/course/191774/,Введение в SQL,"🏆 Победитель Stepik Awards 2024 - Лучший курс по Анализу данных! 

Наш курс ""Введение в SQL"" — это ключ к миру баз данных. Вам доступны структурированные лекции, почти 100 тестовых и интерактивных задач. Завершите обучение практическим модулем, создав собственную базу данных. Получите навыки, чтобы стать востребованным IT-специалистом. Получите знания для своей мечты! 🚀",ru,easy,43864,-,Certificate,Ирина Selectовна,4.925652667423383,1762
Stepik,Программирование,https://stepik.org/course/182643/,Основы программирования на C++,"Этот курс – ваш идеальный старт в программировании и/или освоении языка C++. Вы изучите основы алгоритмов, работу с массивами, текстом, функциям и файлами. Курс отлично подходит для новичков: понятная, хорошо поданная теория, увлекательные задачи, заставляющие задуматься, и постоянная поддержка преподавателей.",ru,easy,15171,-,Certificate,Артём Бородин,4.921161825726141,241
Stepik,Программирование,https://stepik.org/course/171826/,Тестирование ПО с нуля. Теория + Практика. Уровень BASIC,"""Тестирование ПО с нуля. Теория + Практика"": станьте тестировщиком с нуля! 🏆Победитель Stepik Awards 2025 в номинации ""Прорыв года""🏆 Этот курс подойдет начинающим и тем, кто хочет освежить знания. Узнайте, как стать тестировщиком через видео, тексты, тесты и задания. Вас ждет поддержка сообщества в ТГ и сертификат от Stepik в конце обучения. Причины заниженного рейтинга объясняются в первом уроке. Автор: Артем Русов",ru,easy,95263,-,Certificate,Artsiom Rusau,4.167450812660394,4676
Stepik,Программирование,https://stepik.org/course/100707/,"Добрый, добрый Python с Сергеем Балакиревым","Этот курс позволит вам изучить основы программирования на языке Python, начиная с самых азов и заканчивая довольно серьезными конструкциями. После каждого теоретического видеоурока вы найдете практические задания на закрепление пройденного материала. Курс рассчитан и на самых начинающих и для тех, кто уже знаком с Python, но хотел бы повысить, а заодно и проверить, свой уровень.",ru,,119522,-,Certificate,Сергей Балакирев,4.92738665683745,2713
Stepik,Программирование,https://stepik.org/course/98974/,"""Поколение Python"": ООП","Курс продолжает серию ""Поколение Python"" и рассказывает о концепции объектно-ориентированного программирования на языке Python",ru,normal,8045,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.944444444444445,738
Stepik,Программирование,https://stepik.org/course/82541/,"""Поколение Python"": курс для профессионалов","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,hard,15191,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.968484848484849,1650
Stepik,Программирование,https://stepik.org/course/68343/,"""Поколение Python"": курс для продвинутых","Курс продолжает легендарный курс ""Поколение Python: курс для начинающих"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,,252173,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.966070038910506,6425
