platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Databases,https://stepik.org/course/261410/,DevOps-инструменты [ Linux + Docker + Git ],"DevOps-специалист: освойте Linux, Git, Docker и основы DevOps. Научитесь разворачивать приложения, работать с контейнерами и автоматизировать процессы. Старт в востребованной профессии.",ru,easy,119,7270 ₽,Certificate,Rotoro cloud;Pragmatic Programmer,0.0,0
Stepik,Databases,https://stepik.org/course/260403/,Программа: Web-разработка на Python [ FastAPI + Git + SQL ],"Создавайте мощные API на FastAPI, работайте с базами данных и освойте Git для командной разработки. Станьте полноценным бэкенд-разработчиком.",ru,,93,6990 ₽,Certificate,Илья Перминов;Pragmatic Programmer,0.0,0
Stepik,Databases,https://stepik.org/course/254281/,Программа: Java-разработчик [ Java + ООП + SQL + Linux + Git ],"Программируете на Java или интересуетесь этим языком? В данной учебной программе Вы не только с нуля изучите сам язык Java, но и научитесь работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git).",ru,,75,6490 ₽,Certificate,Оксана Еськова;Pragmatic Programmer,5.0,1
Stepik,Databases,https://stepik.org/course/253174/,Знакомство с Docker,"Познакомьтесь с Docker'ом с нуля: контейнеры, образы, Dockerfile и Docker Compose. Научитесь упаковывать приложения за пару часов.",ru,easy,3311,-,Certificate,Pragmatic Programmer,4.977653631284916,179
Stepik,Databases,https://stepik.org/course/253160/,Программа: Frontend-разработка [ JavaScript + Git + GitHub ],"Ваш старт во фронтэнд разработке. Освойте JavaScript с нуля до продвинутого уровня, работу с Git и станьте востребованным специалистом. Курс подходит для начинающих разработчиков и верстальщиков. Научитесь создавать интерактивные сайты, работать с API и управлять проектами в GitHub.",ru,,77,3450 ₽,Certificate,Pragmatic Programmer;Павел Тарасов,0.0,0
Stepik,Databases,https://stepik.org/course/253025/,IT-фундамент [ SQL + Linux + Git ],"На каком бы языке Вы ни программировали, вероятнее всего, Вам понадобится работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git)",ru,,38,4000 ₽,Certificate,Pragmatic Programmer,5.0,1
Stepik,Databases,https://stepik.org/course/252829/,Основы Git и GitHub,"Git и GitHub: от основ до уверенного использования. Научитесь работать с репозиториями, коммитами, удаленными серверами и GitHub Copilot. Освойте откат изменений, историю коммитов. Идеально для старта в разработке!",ru,easy,3751,-,Certificate,Pragmatic Programmer,4.991228070175438,114
Stepik,Databases,https://stepik.org/course/241839/,Профессия: Python-разработчик [ Python + SQL + Git + Linux ],"Учебная программа даст все необходимые навыки: основательное знание Python, работа с Git и GitHub, уверенное владение Linux и эффективное использование SQL. После обучения Вы сможете разрабатывать приложения, управлять версиями кода, работать с серверами и базами данных — всё, что нужно для старта карьеры в IT.",ru,easy,97,8500 ₽,Certificate,Pragmatic Programmer;Future People,5.0,1
Stepik,Databases,https://stepik.org/course/222232/,ИИ агенты и автоматизация с n8n: от рутины до AI контент-завода,"🏆 Курс от лауреатов премии Stepik Awards 2024 в номинации ""Лучший курс года"". Вы научитесь использовать платформу n8n для быстрой автоматизации рутинных задач. Интегрировать AI и LLM-модели в рабочие процессы. Автоматизируете обработку документов и собственных данных, создание контента. Научитесь разрабатывать AI агентов, чат-ботов без кода и реализуете 5 проектов. Получите твердую базу для выполнения коммерческих заказов. Автоматизация с n8n - это тренд 2025 года!",ru,easy,952,14900 ₽,Certificate,Алерон 🍕 Миленькин;Стас ⚡️ Гасиловский,5.0,53
Stepik,Databases,https://stepik.org/course/214865/,Git + GitHub. Полный курс,"Практическое руководство по работе с системой контроля версий Git и платформой GitHub. Вы научитесь создавать репозитории, управлять ветками, разрешать конфликты, работать с Pull Request и использовать современные инструменты, как GitHub Copilot. Идеально для начинающих разработчиков!",ru,easy,4172,990 ₽,Certificate,Pragmatic Programmer,4.989010989010989,182
