platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Programming,https://stepik.org/course/261410/,DevOps-инструменты [ Linux + Docker + Git ],"DevOps-специалист: освойте Linux, Git, Docker и основы DevOps. Научитесь разворачивать приложения, работать с контейнерами и автоматизировать процессы. Старт в востребованной профессии.",ru,easy,119,7270 ₽,Certificate,Rotoro cloud;Pragmatic Programmer,0.0,0
Stepik,Programming,https://stepik.org/course/253025/,IT-фундамент [ SQL + Linux + Git ],"На каком бы языке Вы ни программировали, вероятнее всего, Вам понадобится работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git)",ru,,38,4000 ₽,Certificate,Pragmatic Programmer,5.0,1
Stepik,Programming,https://stepik.org/course/241839/,Профессия: Python-разработчик [ Python + SQL + Git + Linux ],"Учебная программа даст все необходимые навыки: основательное знание Python, работа с Git и GitHub, уверенное владение Linux и эффективное использование SQL. После обучения Вы сможете разрабатывать приложения, управлять версиями кода, работать с серверами и базами данных — всё, что нужно для старта карьеры в IT.",ru,easy,97,8500 ₽,Certificate,Pragmatic Programmer;Future People,5.0,1
Stepik,Programming,https://stepik.org/course/230401/,"Сохрани меня, если сможешь: модули и файлы в Python","🚀 «Модули и файлы в Python: легко и понятно» — следующий шаг после освоения основ, который научит вас работать с файлами, модулями и структурой проектов на Python!

📂 Вы узнаете, как сохранять и читать данные, разбивать код на удобные части, использовать сторонние библиотеки, управлять зависимостями и работать с виртуальным окружением.

💡 Курс идеально подходит для выпускников «Функционального программирования на Python» и всех, кто хочет перейти от простых скриптов к созданию настоящих Python-проектов!",ru,normal,3415,-,Certificate,Артем Егоров,5.0,28
Stepik,Programming,https://stepik.org/course/220674/,Твой Golang,"Твой Golang — это идеальный старт для освоения языка. Простые и понятные объяснения помогут быстро разобраться в основах Go, даже если вы новичок. Вы научитесь создавать эффективные приложения и получите практические навыки для реальных проектов. 
Изучать Go — значит инвестировать в свое будущее!",ru,easy,6960,-,Certificate,Павел Тарасов,4.979310344827586,145
Stepik,Programming,https://stepik.org/course/214865/,Git + GitHub. Полный курс,"Практическое руководство по работе с системой контроля версий Git и платформой GitHub. Вы научитесь создавать репозитории, управлять ветками, разрешать конфликты, работать с Pull Request и использовать современные инструменты, как GitHub Copilot. Идеально для начинающих разработчиков!",ru,easy,4171,990 ₽,Certificate,Pragmatic Programmer,4.989010989010989,182
Stepik,Programming,https://stepik.org/course/198983/,Программа. Linux: с нуля до сертификата,"Пакет ""Linux: 3 в 1"". И больше ничего не нужно. Просмотри видеокурс, пройди тестирование, получи сертификат.",ru,easy,1567,3450 ₽,Certificate,Pragmatic Programmer,4.956989247311828,93
Stepik,Programming,https://stepik.org/course/190857/,C# для начинающих. С нуля до первых проектов,"Хотите освоить C# с нуля? Наш бесплатный курс – это идеальный старт! Вы разберётесь с основами языка, освоите ООП, научитесь работать с коллекциями, исключениями, познакомитесь с LINQ, делегатами и многим другим. В каждом модуле – теоретический материал и практические задачи, а в финале – создание двух реальных проектов: Telegram-бота и Web-сервиса. Курс подойдёт как начинающим разработчикам, так и опытным программистам, желающим освоить новую технологию. Начните свой путь в C# уже сегодня!",ru,easy,5547,-,Certificate,Devpractice Team;Марат Абдрахманов;Иван Шнайдер,4.828571428571428,35
Stepik,Programming,https://stepik.org/course/185283/,Терминал Linux. Работа в командной строке,Авторский видеокурс от программиста с 15+ годами опыта и преподавателя онлайн школ GeekBrains и Otus.,ru,easy,3342,1290 ₽,Certificate,Pragmatic Programmer,4.943661971830986,213
Stepik,Programming,https://stepik.org/course/171826/,Тестирование ПО с нуля. Теория + Практика. Уровень BASIC,"""Тестирование ПО с нуля. Теория + Практика"": станьте тестировщиком с нуля! 🏆Победитель Stepik Awards 2025 в номинации ""Прорыв года""🏆 Этот курс подойдет начинающим и тем, кто хочет освежить знания. Узнайте, как стать тестировщиком через видео, тексты, тесты и задания. Вас ждет поддержка сообщества в ТГ и сертификат от Stepik в конце обучения. Причины заниженного рейтинга объясняются в первом уроке. Автор: Артем Русов",ru,easy,95263,-,Certificate,Artsiom Rusau,4.167450812660394,4676
Stepik,Programming,https://stepik.org/course/158385/,PRO Go. Основы программирования,"Курс посвящен базовым понятиям программирования: типы данных, операторы, переменные, условия, циклы, массивы и функции. Он является вводным и подойдет слушателям с небольшим опытом или вообще без опыта программирования. Обучение будет проходить на языке программирования Go.",ru,easy,21461,2490 ₽,Certificate,Александр Павлович;PRO Go,4.803030303030303,264
Stepik,Programming,https://stepik.org/course/128816/,Introductory Econometrics: a Practical Approach,"Курс «Введение в эконометрику: практический подход» даст вам хорошую основу для начала карьеры исследователя или аналитика данных, он необходим для понимания более сложных эконометрических методов и других инструментов, используемых в науке о данных.",en,easy,2089,-,Certificate,RUDN University;Balashova Svetlana,4.91764705882353,170
Stepik,Programming,https://stepik.org/course/107779/,PRO C#. База,"С# разработчик – это человек, который пишет компьютеру волшебное «заклинание» – код. Чтоб компьютер понимал, что и когда ему считать, делать и показывать на экране. 

Каждый С# разработчик чувствует, как сильно его уважают окружающие. Он сам решает, в каком месте ему работать. И поэтому он иногда работает под пальмами.",ru,easy,524,43190 ₽,Certificate,Иосиф Дзеранов;IRON PROGRAMMER PRO C#,5.0,10
Stepik,Programming,https://stepik.org/course/82541/,"""Поколение Python"": курс для профессионалов","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,hard,15191,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.968484848484849,1650
Stepik,Programming,https://stepik.org/course/68343/,"""Поколение Python"": курс для продвинутых","Курс продолжает легендарный курс ""Поколение Python: курс для начинающих"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,,252174,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.966070038910506,6425
Stepik,Programming,https://stepik.org/course/63085/,Инди-курс программирования на Python,"Инди-курс программирования на Python — проверенный временем пошаговый курс для тех, кто хочет освоить разработку с нуля. Уже более 5 лет курс помогает ученикам легко и эффективно изучать python. Мы научим вас создавать свои первые программы, работать с числами, строками, списками и основными структурами данных. Курс охватывает ключевые концепции программирования, такие как циклы, функции, обработка исключений и многое другое, чтобы вы уверенно начали свой путь в мире python.",ru,easy,214677,-,Certificate,Артем Егоров,4.886831275720165,2430
Stepik,Programming,https://stepik.org/course/63054/,Интерактивный тренажер по SQL,"В курсе большинство шагов — это практические задания на создание SQL-запросов. Каждый шаг включает  минимальные теоретические аспекты по базам данных или языку SQL, примеры похожих запросов и пояснение к реализации.",ru,easy,501039,-,Certificate,Дальневосточный федеральный университет,4.934341252699784,4630
Stepik,Programming,https://stepik.org/course/58852/,"""Поколение Python"": курс для начинающих","​В курсе рассказывается об основных типах данных, конструкциях и принципах структурного программирования языка Python. Курс содержит теорию в формате текстовых конспектов и более 500 задач с автоматизированной проверкой. Этот курс является первой частью линейки курсов ""Поколение Python"".",ru,easy,1447480,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.965998836145981,24058
Stepik,Programming,https://stepik.org/course/54403/,Программирование на Golang,"Курс посвящен основам языка программирования Golang. Курс будет полезен тем, кто уже имеет базовый опыт в программировании. На курсе будет рассмотрена теория, подкрепленная практикой.",ru,,80133,-,Certificate,Семён Новиков,4.654898499558694,1133
Stepik,Programming,https://stepik.org/course/5482/,PRO C#. Основы программирования,"Курс посвящен базовым понятиям программирования: типы данных, операторы, переменные, условия, циклы, массивы и функции. Он является вводным и подойдет слушателям с небольшим опытом или вообще без опыта программирования. Курс полностью обновлен 2025 году!",ru,easy,98607,2490 ₽,Certificate,Иосиф Дзеранов;факультет МИТ СОГУ;IRON PROGRAMMER PRO C#,4.943050193050193,1036
Stepik,Programming,https://stepik.org/course/260403/,Программа: Web-разработка на Python [ FastAPI + Git + SQL ],"Создавайте мощные API на FastAPI, работайте с базами данных и освойте Git для командной разработки. Станьте полноценным бэкенд-разработчиком.",ru,,93,6990 ₽,Certificate,Илья Перминов;Pragmatic Programmer,0.0,0
Stepik,Programming,https://stepik.org/course/258802/,Профессия: Web-верстальщик [ верстка + Git + GitHub ],"Современная вёрстка на JSX, SCSS, JavaScript и Git. Создавайте сложные проекты с нуля и работайте в команде с системой контроля версий.",ru,easy,107,2998 ₽,Certificate,Pragmatic Programmer;Александр Ламков,5.0,1
Stepik,Programming,https://stepik.org/course/254281/,Программа: Java-разработчик [ Java + ООП + SQL + Linux + Git ],"Программируете на Java или интересуетесь этим языком? В данной учебной программе Вы не только с нуля изучите сам язык Java, но и научитесь работать с данными (SQL), управлять сервером (Linux), контролировать версии кода (Git).",ru,,75,6490 ₽,Certificate,Оксана Еськова;Pragmatic Programmer,5.0,1
Stepik,Programming,https://stepik.org/course/253160/,Программа: Frontend-разработка [ JavaScript + Git + GitHub ],"Ваш старт во фронтэнд разработке. Освойте JavaScript с нуля до продвинутого уровня, работу с Git и станьте востребованным специалистом. Курс подходит для начинающих разработчиков и верстальщиков. Научитесь создавать интерактивные сайты, работать с API и управлять проектами в GitHub.",ru,,76,3450 ₽,Certificate,Pragmatic Programmer;Павел Тарасов,0.0,0
Stepik,Programming,https://stepik.org/course/252829/,Основы Git и GitHub,"Git и GitHub: от основ до уверенного использования. Научитесь работать с репозиториями, коммитами, удаленными серверами и GitHub Copilot. Освойте откат изменений, историю коммитов. Идеально для старта в разработке!",ru,easy,3751,-,Certificate,Pragmatic Programmer,4.991228070175438,114
Stepik,Programming,https://stepik.org/course/236471/,Введение в ассемблер RISC-V,Курс дает общее понимание архитектуры RISC-V на основе изучения ее ассемблера как языка программирования. Рассматриваются основные синтаксические конструкции и потенциальные приложения. Дается интерактивный практикум для решения задач курса. ,ru,easy,745,-,,Марк Заславский,5.0,6
Stepik,Programming,https://stepik.org/course/229484/,"Этический хакинг — уязвимости, взлом, защита (CyberSecurity)","Курс «Этический хакинг — уязвимости, взлом, защита»

Научитесь находить уязвимости и защищать системы легально и профессионально — даже если вы никогда не это не изучали.

Мечтаете стать востребованным специалистом в кибербезопасности, но вас пугают сложности? Наш комплексный курс по этичному хакингу — это ваш структурированный путь от полного новичка до специалиста, способного проводить пентесты и находить уязвимости в реальных системах. Мы разберем весь процесс на практике и теории.",ru,easy,583,900 ₽,Certificate,fadik22 official,4.857142857142857,7
