platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Веб-разработка,https://stepik.org/course/260403/,Программа: Web-разработка на Python [ FastAPI + Git + SQL ],"Создавайте мощные API на FastAPI, работайте с базами данных и освойте Git для командной разработки. Станьте полноценным бэкенд-разработчиком.",ru,,93,6990 ₽,Certificate,Илья Перминов;Pragmatic Programmer,0.0,0
Stepik,Веб-разработка,https://stepik.org/course/229484/,"Этический хакинг — уязвимости, взлом, защита (CyberSecurity)","Курс «Этический хакинг — уязвимости, взлом, защита»

Научитесь находить уязвимости и защищать системы легально и профессионально — даже если вы никогда не это не изучали.

Мечтаете стать востребованным специалистом в кибербезопасности, но вас пугают сложности? Наш комплексный курс по этичному хакингу — это ваш структурированный путь от полного новичка до специалиста, способного проводить пентесты и находить уязвимости в реальных системах. Мы разберем весь процесс на практике и теории.",ru,easy,583,900 ₽,Certificate,fadik22 official,4.857142857142857,7
Stepik,Веб-разработка,https://stepik.org/course/221885/,Лучший по Python. Часть 2,"Продолжение легендарной 1 части!

Курс уникален по 5 причинам: 
1. Захватывающий сюжет.
2. Всё обучение — в форме диалога!
3. Все задачи взяты из реальной жизни!
4. В курсе нет сложной математики и непонятной теории!
5. Такого или похожего курса не существует :)",ru,easy,7914,-,Certificate,Иван Стародубцев,4.960122699386503,978
Stepik,Веб-разработка,https://stepik.org/course/220674/,Твой Golang,"Твой Golang — это идеальный старт для освоения языка. Простые и понятные объяснения помогут быстро разобраться в основах Go, даже если вы новичок. Вы научитесь создавать эффективные приложения и получите практические навыки для реальных проектов. 
Изучать Go — значит инвестировать в свое будущее!",ru,easy,6959,-,Certificate,Павел Тарасов,4.979310344827586,145
Stepik,Веб-разработка,https://stepik.org/course/214271/,Лучший по Python. Для всех начинающих!,"Самый интересный курс для тех, кто хочет начать программировать!

Курс уникален по 5 причинам:

1. Захватывающий сюжет.
2. Всё обучение — в форме диалога!
3. Все задачи взяты из реальной жизни!
4. В курсе нет сложной математики и непонятной теории!
5. Такого или похожего курса не существует :)",ru,easy,28632,-,Certificate,Иван Стародубцев,4.95384204909285,3748
Stepik,Веб-разработка,https://stepik.org/course/207789/,Python для ЕГЭ по Информатике,В курсе разобраны основы языка программирования Python 3 — с нуля и до необходимого для сдачи ЕГЭ по информатике уровня.,ru,easy,25041,-,Certificate,Леонид Шастин;Денис Бахтиев,4.927152317880795,151
Stepik,Веб-разработка,https://stepik.org/course/191774/,Введение в SQL,"🏆 Победитель Stepik Awards 2024 - Лучший курс по Анализу данных! 

Наш курс ""Введение в SQL"" — это ключ к миру баз данных. Вам доступны структурированные лекции, почти 100 тестовых и интерактивных задач. Завершите обучение практическим модулем, создав собственную базу данных. Получите навыки, чтобы стать востребованным IT-специалистом. Получите знания для своей мечты! 🚀",ru,easy,43864,-,Certificate,Ирина Selectовна,4.925652667423383,1762
Stepik,Веб-разработка,https://stepik.org/course/180000/,FastAPI для начинающих,"🏆 Победитель Stepik Awards 2024 в номинации ""Лучший платный курс года""!
Этот курс представляет собой подробное руководство по созданию приложений с помощью FastAPI. Вы узнаете, как создавать быстрые, эффективные и масштабируемые REST API на Python. Вы начнете с приложения Hello World и далее создадите полноценное API интернет магазина, использующее асинхронные запросы к базе данных, аутентификацию и права доступа. Внимание, данный курс не содержит ни минуты видео!",ru,easy,1484,2999 ₽,Certificate,Илья Перминов,4.977777777777778,90
Stepik,Веб-разработка,https://stepik.org/course/171826/,Тестирование ПО с нуля. Теория + Практика. Уровень BASIC,"""Тестирование ПО с нуля. Теория + Практика"": станьте тестировщиком с нуля! 🏆Победитель Stepik Awards 2025 в номинации ""Прорыв года""🏆 Этот курс подойдет начинающим и тем, кто хочет освежить знания. Узнайте, как стать тестировщиком через видео, тексты, тесты и задания. Вас ждет поддержка сообщества в ТГ и сертификат от Stepik в конце обучения. Причины заниженного рейтинга объясняются в первом уроке. Автор: Артем Русов",ru,easy,95263,-,Certificate,Artsiom Rusau,4.167450812660394,4676
Stepik,Веб-разработка,https://stepik.org/course/135466/,HTML CSS JS,На данном курсе Вы узнаете основу web-разработки и создания сайтов. Познакомитесь с языком гипертекстовой разметки HTML как с основой любого сайта и добавите веб-страницам индивидуальности с таблицами стилей CSS. А так же изучите язык программирования JavaScript и его взаимодействие с браузером.,ru,easy,27136,-,Certificate,WEB LOUNGE,4.610062893081761,318
Stepik,Веб-разработка,https://stepik.org/course/120494/,Инди-курс по HTML и CSS,"Курс предлагает глубокое и практическое изучение языков веб-разработки, которые являются основой для создания современных веб-сайтов и приложений.",ru,easy,17069,-,Certificate,Артем Егоров,4.811724915445321,887
Stepik,Веб-разработка,https://stepik.org/course/118842/,"Вселенная тестирования, или Как стать тестировщиком","Главная цель курса — помочь начинающим тестировщикам освоить базовые знания о профессии и найти первую работу в тестировании. Курс включает в себя лекции, а также практику в виде тестовых заданий.

Ну, что — вперед, и да пребудет с вами тестирование!",ru,easy,59356,-,Certificate,Кавычки,4.841095890410959,2190
Stepik,Веб-разработка,https://stepik.org/course/97097/,Цифровые технологии в образовательном процессе,Курс предполагает обучение использованию в педагогической практике цифровых технологий для организации очно-дистанционной формы ведения занятий.,ru,,7672,-,Certificate,Виктория Нефедова,4.917733089579524,547
Stepik,Веб-разработка,https://stepik.org/course/82541/,"""Поколение Python"": курс для профессионалов","Курс продолжает серию ""Поколение Python"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,hard,15191,7900 ₽,Certificate,Тимур 🐍 Гуев;Поколение Python,4.968484848484849,1650
Stepik,Веб-разработка,https://stepik.org/course/68343/,"""Поколение Python"": курс для продвинутых","Курс продолжает легендарный курс ""Поколение Python: курс для начинающих"" и рассказывает о дополнительных возможностях языка Python, а тренировочные задачи помогают закрепить каждую тему.",ru,,252173,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.966070038910506,6425
Stepik,Веб-разработка,https://stepik.org/course/63085/,Инди-курс программирования на Python,"Инди-курс программирования на Python — проверенный временем пошаговый курс для тех, кто хочет освоить разработку с нуля. Уже более 5 лет курс помогает ученикам легко и эффективно изучать python. Мы научим вас создавать свои первые программы, работать с числами, строками, списками и основными структурами данных. Курс охватывает ключевые концепции программирования, такие как циклы, функции, обработка исключений и многое другое, чтобы вы уверенно начали свой путь в мире python.",ru,easy,214677,-,Certificate,Артем Егоров,4.886831275720165,2430
Stepik,Веб-разработка,https://stepik.org/course/58852/,"""Поколение Python"": курс для начинающих","​В курсе рассказывается об основных типах данных, конструкциях и принципах структурного программирования языка Python. Курс содержит теорию в формате текстовых конспектов и более 500 задач с автоматизированной проверкой. Этот курс является первой частью линейки курсов ""Поколение Python"".",ru,easy,1447481,-,Certificate,"Тимур 🐍 Гуев;Благотворительный фонд ""Айкью Опшн"";Поколение Python",4.965998836145981,24058
Stepik,Веб-разработка,https://stepik.org/course/53429/,Личностное развитие,"Курс  будет полезен для всех, кто  хочет развить свою личность с точки зрения роста.  Мы поможем построить индивидуальную программу профессионально-личностного роста и саморазвития.",ru,,80436,-,,КНИТУ-КАИ им. А. Н. Туполева,4.917197452229299,1570
Stepik,Веб-разработка,https://stepik.org/course/38218/,Веб-разработка для начинающих: HTML и CSS,"Курс по основам веб-разработки. Узнаем, как работает интернет, научимся создавать веб-страницы с помощью HTML и CSS и деплоить их в интернет. Содержит домашние задания: мини-проекты для самостоятельного выполнения и проверки.",ru,easy,278467,-,Certificate,ITC (vk.com/itc.digital),4.635907093534212,4779
Stepik,Веб-разработка,https://stepik.org/course/67/,Программирование на Python,"Курс посвящен базовым понятиям и элементам языка программирования Python (операторы, числовые и строковые переменные, списки, условия и циклы). Курс является вводным и наиболее подойдет слушателям, не имеющим опыта написания программ ни на одном из языков программирования.",ru,,799137,-,Certificate,Bioinformatics Institute,4.678748097412481,10512
